Gene ID	Gene Symbol	h1a TPM	h1a Read Count	h1b TPM	h1b Read Count	h2a TPM	h2a Read Count	h2b TPM	h2b Read Count	h2c TPM	h2c Read Count	h1a FPKM	h1b FPKM	h2a FPKM	h2b FPKM	h2c FPKM
1	A1BG	37.2	1308.0	0.0	0.0	0.08	3.0	0.72	6.0	0.24	4.0	33.34	0.0	0.06	0.67	0.26
10	NAT2	13.28	154.0	0.0	0.0	7.15	88.0	0.0	0.0	4.3	24.0	11.9	0.0	5.7	0.0	4.8
100	ADA	7.76	107.0	0.0	0.0	5.87	87.0	0.0	0.0	1.55	10.0	6.96	0.0	4.68	0.0	1.74
1000	CDH2	10.04	407.0	1.59	4.0	0.31	14.0	0.0	0.0	0.15	3.0	9.0	1.16	0.25	0.0	0.17
10000	AKT3	0.12	5.86	0.0	0.0	0.92	30.08	0.81	9.0	0.26	2.95	0.11	0.0	0.73	0.75	0.29
10001	MED6	6.26	147.0	0.0	0.0	16.63	424.0	25.93	145.0	18.98	216.0	5.61	0.0	13.25	24.06	21.19
10002	NR2E3	1.34	26.0	11.68	14.0	0.14	3.0	0.0	0.0	0.11	1.0	1.2	8.52	0.11	0.0	0.12
10003	NAALAD2	0.2	9.0	0.0	0.0	0.19	9.0	0.0	0.0	0.24	4.0	0.18	0.0	0.15	0.0	0.26
100033411	DUXB	0.0	0.0	0.0	0.0	0.14	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0
100037417	DDTL	52.36	1157.09	32.67	29.96	16.19	311.41	6.73	23.6	2.34	21.46	46.94	23.84	12.9	6.25	2.61
10004	NAALADL1	0.78	22.0	43.41	72.0	0.49	16.0	0.0	0.0	0.54	7.0	0.7	31.68	0.39	0.0	0.6
100049587	SIGLEC14	0.02	1.0	0.0	0.0	0.67	19.97	2.33	12.0	0.18	1.8	0.02	0.0	0.53	2.16	0.21
10005	ACOT8	64.7	618.53	194.66	105.0	29.04	299.69	28.77	59.0	24.25	117.97	57.99	142.07	23.14	26.69	27.08
10006	ABI1	14.52	507.62	0.0	0.0	18.18	716.62	16.77	132.0	15.1	260.0	13.02	0.0	14.49	15.56	16.86
10007	GNPDA1	43.21	983.0	0.0	0.0	29.98	736.0	30.41	166.0	27.38	302.0	38.74	0.0	23.89	28.21	30.58
10008	KCNE3	4.87	142.0	0.0	0.0	4.74	156.0	4.16	28.0	3.04	42.0	4.37	0.0	3.78	3.86	3.39
10009	ZBTB33	14.02	774.0	0.0	0.0	8.46	508.0	1.08	14.0	3.98	106.0	12.57	0.0	6.74	1.0	4.45
1001	CDH3	0.03	1.0	3.35	9.56	61.37	2665.0	12.75	139.95	4.74	104.36	0.03	2.45	48.9	11.83	5.29
10010	TANK	14.63	289.0	0.0	0.0	19.82	371.0	18.01	87.0	16.03	136.0	13.12	0.0	15.79	16.71	17.9
100101267	POM121C	10.84	686.28	0.0	0.0	15.85	1091.36	0.63	9.41	1.78	54.22	9.72	0.0	12.63	0.59	1.98
100101467	ZSCAN30	5.26	187.32	0.0	0.0	2.79	110.33	0.0	0.0	1.34	24.0	4.72	0.0	2.23	0.0	1.49
10011	SRA1	61.65	1092.0	223.4	156.0	43.67	701.0	65.22	192.0	46.19	292.0	55.26	163.05	34.8	60.51	51.59
100113407	TMEM170B	1.84	180.0	0.0	0.0	0.24	25.0	0.52	11.84	0.51	24.01	1.65	0.0	0.19	0.48	0.57
100125288	ZGLP1	8.97	173.0	0.0	0.0	15.99	334.0	0.0	0.0	2.67	25.0	8.04	0.0	12.74	0.0	2.98
100127206	MINAR2	0.0	0.0	0.0	0.0	0.0	0.0	1.45	8.0	0.18	2.0	0.0	0.0	0.0	1.35	0.2
100127983	C8orf88	2.17	18.79	0.0	0.0	0.24	2.23	0.0	0.0	0.0	0.0	1.95	0.0	0.19	0.0	0.0
100128071	FAM229A	21.38	102.0	0.0	0.0	2.96	15.0	0.0	0.0	2.09	5.0	19.17	0.0	2.36	0.0	2.34
100128108	LOC100128108	0.06	1.0	110.09	123.0	0.22	3.0	32.29	138.12	2.93	25.76	0.05	80.35	0.17	29.96	3.28
100128124	HGC6.3	0.0	0.0	0.0	0.0	0.56	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0
100128553	CTAGE4	9.64	256.3	0.0	0.0	31.15	899.12	9.84	61.74	9.27	119.46	8.64	0.0	24.82	9.13	10.36
100128569	C19orf71	1.8	8.0	0.0	0.0	0.85	4.0	0.0	0.0	0.0	0.0	1.61	0.0	0.67	0.0	0.0
100128731	OST4	880.48	1662.0	1252.79	168.0	1663.37	3232.0	3005.79	1473.0	1793.08	1792.0	789.24	914.34	1325.38	2788.94	2002.6
100128927	ZBTB42	4.32	163.0	0.0	0.0	4.97	204.0	0.34	3.0	1.15	21.0	3.87	0.0	3.96	0.31	1.29
100129094	BTNL10	0.05	1.0	0.0	0.0	0.03	1.0	0.64	3.0	0.0	0.0	0.05	0.0	0.03	0.59	0.0
100129098	LOC100129098	0.0	0.0	0.0	0.0	0.04	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0
100129250	SMIM27	5.17	18.0	0.0	0.0	3.27	12.0	11.01	22.0	3.96	7.0	4.64	0.0	2.61	10.22	4.42
100129278	TDRD15	0.08	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0
100129307	LOC100129307	1.23	16.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0
100129361	SMIM10L1	5.98	308.0	0.0	0.0	10.22	572.0	9.09	110.0	11.43	284.0	5.36	0.0	8.14	8.44	12.77
100129396	FAM106C	0.0	0.0	0.0	0.0	0.0	0.0	7.04	28.0	0.49	4.0	0.0	0.0	0.0	6.54	0.55
100129480	MKRN2OS	1.06	15.11	0.0	0.0	2.95	42.19	5.01	20.05	5.46	38.05	0.95	0.0	2.35	4.65	6.09
100129484	LOC100129484	6.97	187.0	24.25	40.0	3.06	89.0	1.58	10.0	0.85	11.0	6.25	17.7	2.43	1.47	0.95
100129515	ETDB	0.03	1.0	0.0	0.0	0.0	0.0	1.23	10.0	0.0	0.0	0.03	0.0	0.0	1.15	0.0
100129520	TEX13C	12.39	630.0	0.0	0.0	0.0	0.0	2.18	26.0	0.16	4.0	11.11	0.0	0.0	2.02	0.18
100129543	ZNF730	1.72	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.0	0.0	0.0	0.0
